Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
0,-0.0631,13.3363,0.09272,9.154,10.122,11.091,12.159,13.336,14.636,16.071,17.657,19.242
1,0.0362,13.3185,0.0936,9.049,10.043,11.038,12.127,13.318,14.623,16.05,17.611,19.172
2,0.1355,13.3006,0.09448,8.941,9.962,10.983,12.094,13.301,14.61,16.029,17.566,19.102
3,0.2347,13.2828,0.09535,8.829,9.879,10.928,12.062,13.283,14.596,16.007,17.52,19.032
4,0.334,13.2649,0.09623,8.712,9.792,10.872,12.029,13.265,14.583,15.985,17.474,18.964
5,0.4333,13.247,0.09711,8.59,9.702,10.815,11.996,13.247,14.569,15.963,17.429,18.895
6,0.5326,13.2292,0.09799,8.463,9.609,10.756,11.963,13.229,14.555,15.94,17.384,18.827
7,0.6319,13.2113,0.09887,8.33,9.513,10.696,11.929,13.211,14.541,15.917,17.339,18.76
8,0.6142,13.2455,0.09866,8.376,9.554,10.733,11.964,13.246,14.577,15.957,17.385,18.813
9,0.5965,13.2796,0.09845,8.422,9.596,10.77,11.998,13.28,14.613,15.997,17.431,18.866
10,0.5789,13.3137,0.09824,8.468,9.637,10.807,12.033,13.314,14.649,16.037,17.477,18.918
11,0.5612,13.3478,0.09804,8.513,9.678,10.844,12.067,13.348,14.684,16.077,17.524,18.971
12,0.5435,13.3819,0.09783,8.559,9.72,10.881,12.102,13.382,14.72,16.116,17.57,19.024
13,0.5258,13.416,0.09762,8.604,9.761,10.918,12.137,13.416,14.756,16.156,17.617,19.077
14,0.5082,13.4501,0.09741,8.65,9.802,10.955,12.171,13.45,14.792,16.196,17.663,19.129
15,0.4947,13.5169,0.09726,8.71,9.863,11.017,12.235,13.517,14.864,16.276,17.752,19.228
16,0.482,13.5873,0.09711,8.772,9.927,11.081,12.301,13.587,14.94,16.359,17.845,19.331
17,0.4699,13.6595,0.09697,8.835,9.99,11.146,12.369,13.66,15.018,16.445,17.941,19.437
18,0.4583,13.7325,0.09684,8.897,10.054,11.212,12.437,13.732,15.097,16.532,18.038,19.544
19,0.4472,13.8056,0.09671,8.959,10.118,11.277,12.506,13.806,15.177,16.62,18.135,19.651
20,0.4365,13.8784,0.09659,9.02,10.181,11.342,12.574,13.878,15.256,16.707,18.232,19.758
21,0.4263,13.9505,0.09647,9.08,10.243,11.406,12.642,13.95,15.334,16.792,18.328,19.863
22,0.4164,14.0216,0.09636,9.139,10.305,11.47,12.708,14.022,15.411,16.877,18.422,19.967
23,0.4069,14.0916,0.09625,9.197,10.365,11.532,12.774,14.092,15.487,16.961,18.515,20.069
24,0.3977,14.1603,0.09615,9.254,10.423,11.593,12.838,14.16,15.561,17.043,18.607,20.17
25,0.3888,14.2276,0.09605,9.31,10.481,11.653,12.901,14.228,15.635,17.123,18.696,20.268
26,0.3802,14.2935,0.09595,9.364,10.538,11.711,12.963,14.294,15.706,17.202,18.783,20.364
27,0.3718,14.3579,0.09586,9.417,10.593,11.768,13.023,14.358,15.776,17.279,18.869,20.459
28,0.3637,14.4208,0.09577,9.469,10.646,11.824,13.081,14.421,15.844,17.354,18.953,20.551
29,0.3558,14.4824,0.09568,9.519,10.699,11.879,13.139,14.482,15.911,17.428,19.034,20.641
30,0.3481,14.5422,0.09559,9.569,10.75,11.932,13.195,14.542,15.976,17.499,19.114,20.728
31,0.3406,14.6003,0.09551,9.617,10.8,11.983,13.249,14.6,16.039,17.568,19.191,20.813
32,0.3333,14.6566,0.09543,9.663,10.848,12.033,13.302,14.657,16.1,17.636,19.266,20.896
33,0.3262,14.7112,0.09535,9.708,10.895,12.082,13.353,14.711,16.159,17.701,19.338,20.976
34,0.3192,14.7642,0.09527,9.752,10.941,12.129,13.403,14.764,16.217,17.764,19.409,21.053
35,0.3124,14.8157,0.0952,9.795,10.985,12.175,13.451,14.816,16.273,17.826,19.477,21.129
36,0.3058,14.8657,0.09513,9.836,11.028,12.22,13.498,14.866,16.327,17.885,19.544,21.203
37,0.2993,14.9142,0.09506,9.877,11.07,12.263,13.543,14.914,16.38,17.943,19.609,21.274
38,0.2929,14.9614,0.09499,9.916,11.111,12.305,13.587,14.961,16.431,18.0,19.672,21.343
39,0.2867,15.0073,0.09492,9.955,11.15,12.346,13.63,15.007,16.481,18.054,19.733,21.411
40,0.2806,15.052,0.09485,9.992,11.189,12.386,13.672,15.052,16.529,18.108,19.792,21.476
41,0.2747,15.0955,0.09479,10.029,11.227,12.425,13.713,15.096,16.576,18.16,19.85,21.54
42,0.2688,15.138,0.09472,10.065,11.264,12.463,13.753,15.138,16.622,18.21,19.906,21.602
43,0.263,15.1794,0.09466,10.1,11.3,12.5,13.792,15.179,16.667,18.26,19.962,21.664
44,0.2574,15.2198,0.0946,10.134,11.335,12.536,13.83,15.22,16.711,18.308,20.016,21.723
45,0.2519,15.2591,0.09454,10.167,11.369,12.572,13.867,15.259,16.754,18.355,20.068,21.781
46,0.2464,15.2974,0.09448,10.199,11.403,12.606,13.903,15.297,16.795,18.4,20.119,21.837
47,0.2411,15.3347,0.09442,10.231,11.435,12.64,13.938,15.335,16.835,18.445,20.169,21.892
48,0.2358,15.3709,0.09436,10.262,11.467,12.672,13.972,15.371,16.874,18.488,20.217,21.945
49,0.2306,15.4063,0.09431,10.292,11.498,12.704,14.005,15.406,16.913,18.53,20.264,21.998
50,0.2255,15.4408,0.09425,10.322,11.529,12.735,14.038,15.441,16.95,18.571,20.31,22.049
51,0.2205,15.4744,0.0942,10.351,11.558,12.766,14.069,15.474,16.987,18.611,20.355,22.099
52,0.2156,15.5072,0.09415,10.379,11.587,12.795,14.1,15.507,17.022,18.651,20.399,22.147
53,0.2107,15.5393,0.0941,10.406,11.615,12.824,14.13,15.539,17.057,18.689,20.442,22.195
54,0.2059,15.5706,0.09404,10.434,11.643,12.853,14.16,15.571,17.091,18.726,20.483,22.241
55,0.2012,15.6012,0.09399,10.46,11.67,12.881,14.189,15.601,17.124,18.762,20.524,22.286
56,0.1966,15.6311,0.09394,10.486,11.697,12.908,14.217,15.631,17.156,18.798,20.564,22.33
57,0.192,15.6604,0.09389,10.512,11.723,12.934,14.245,15.66,17.188,18.833,20.603,22.374
58,0.1875,15.689,0.09385,10.536,11.748,12.96,14.272,15.689,17.219,18.867,20.642,22.417
59,0.183,15.717,0.0938,10.561,11.773,12.986,14.298,15.717,17.249,18.901,20.679,22.458
60,0.1787,15.7444,0.09375,10.585,11.798,13.011,14.324,15.744,17.278,18.933,20.716,22.498
61,0.1743,15.7713,0.09371,10.608,11.822,13.035,14.349,15.771,17.308,18.965,20.752,22.539
62,0.17,15.7975,0.09366,10.632,11.845,13.059,14.374,15.798,17.336,18.996,20.787,22.578
63,0.1658,15.8232,0.09361,10.655,11.869,13.083,14.399,15.823,17.363,19.027,20.821,22.615
64,0.1617,15.8483,0.09357,10.676,11.891,13.106,14.422,15.848,17.391,19.057,20.855,22.653
65,0.1575,15.8729,0.09353,10.698,11.913,13.128,14.446,15.873,17.417,19.086,20.888,22.69
66,0.1535,15.8968,0.09348,10.72,11.935,13.15,14.468,15.897,17.443,19.114,20.92,22.725
67,0.1495,15.9202,0.09344,10.74,11.956,13.171,14.49,15.92,17.468,19.142,20.951,22.76
68,0.1455,15.9431,0.0934,10.761,11.977,13.192,14.512,15.943,17.493,19.17,20.982,22.794
69,0.1416,15.9655,0.09336,10.781,11.997,13.213,14.533,15.966,17.517,19.196,21.012,22.828
70,0.1377,15.9874,0.09332,10.8,12.017,13.233,14.554,15.987,17.541,19.223,21.042,22.861
71,0.1339,16.0087,0.09328,10.82,12.036,13.253,14.574,16.009,17.564,19.248,21.07,22.892
72,0.1301,16.0297,0.09324,10.839,12.055,13.272,14.594,16.03,17.586,19.273,21.098,22.924
73,0.1263,16.0501,0.0932,10.857,12.074,13.291,14.614,16.05,17.608,19.297,21.126,22.954
74,0.1226,16.0702,0.09316,10.875,12.093,13.31,14.633,16.07,17.63,19.321,21.153,22.984
75,0.119,16.0897,0.09312,10.893,12.11,13.328,14.651,16.09,17.651,19.344,21.179,23.013
76,0.1154,16.1089,0.09308,10.911,12.128,13.346,14.67,16.109,17.672,19.367,21.204,23.042
77,0.1118,16.1277,0.09304,10.928,12.146,13.363,14.688,16.128,17.692,19.389,21.23,23.07
78,0.1082,16.1461,0.093,10.945,12.163,13.38,14.705,16.146,17.711,19.411,21.254,23.097
79,0.1047,16.164,0.09297,10.961,12.179,13.397,14.722,16.164,17.731,19.432,21.279,23.125
80,0.1013,16.1817,0.09293,10.978,12.196,13.413,14.739,16.182,17.75,19.453,21.302,23.151
81,0.0978,16.1989,0.09289,10.994,12.212,13.43,14.756,16.199,17.768,19.474,21.325,23.177
82,0.0944,16.2158,0.09286,11.01,12.227,13.445,14.772,16.216,17.787,19.494,21.348,23.203
83,0.0911,16.2323,0.09282,11.025,12.243,13.461,14.788,16.232,17.804,19.513,21.37,23.227
84,0.0877,16.2485,0.09279,11.04,12.258,13.476,14.803,16.248,17.822,19.533,21.392,23.252
85,0.0844,16.2644,0.09275,11.055,12.273,13.491,14.818,16.264,17.839,19.551,21.413,23.275
86,0.0811,16.28,0.09272,11.07,12.288,13.505,14.833,16.28,17.855,19.57,21.435,23.299
87,0.0779,16.2952,0.09268,11.084,12.302,13.52,14.848,16.295,17.872,19.588,21.455,23.322
88,0.0747,16.3101,0.09265,11.098,12.316,13.534,14.862,16.31,17.888,19.606,21.475,23.344
89,0.0715,16.3247,0.09262,11.112,12.33,13.547,14.876,16.325,17.903,19.623,21.495,23.367
90,0.0684,16.339,0.09258,11.126,12.344,13.561,14.89,16.339,17.919,19.64,21.514,23.388
91,0.0652,16.3531,0.09255,11.14,12.357,13.574,14.903,16.353,17.934,19.657,21.533,23.409
92,0.0621,16.3668,0.09252,11.153,12.37,13.587,14.917,16.367,17.949,19.673,21.552,23.43
93,0.0591,16.3803,0.09249,11.165,12.383,13.6,14.929,16.38,17.963,19.689,21.57,23.451
94,0.056,16.3935,0.09245,11.179,12.396,13.613,14.942,16.394,17.977,19.704,21.587,23.47
95,0.053,16.4065,0.09242,11.191,12.408,13.625,14.955,16.406,17.991,19.72,21.605,23.49
96,0.05,16.4192,0.09239,11.204,12.42,13.637,14.967,16.419,18.005,19.735,21.622,23.51
97,0.0471,16.4316,0.09236,11.216,12.432,13.649,14.979,16.432,18.018,19.749,21.639,23.528
98,0.0442,16.4438,0.09233,11.227,12.444,13.661,14.991,16.444,18.031,19.764,21.655,23.547
99,0.0412,16.4557,0.0923,11.239,12.456,13.672,15.002,16.456,18.044,19.778,21.672,23.565
100,0.0384,16.4673,0.09227,11.251,12.467,13.683,15.013,16.467,18.056,19.792,21.687,23.583
101,0.0355,16.4788,0.09224,11.262,12.478,13.694,15.025,16.479,18.068,19.805,21.703,23.6
102,0.0327,16.49,0.09221,11.273,12.489,13.705,15.035,16.49,18.08,19.819,21.718,23.617
103,0.0298,16.5009,0.09218,11.284,12.5,13.716,15.046,16.501,18.092,19.831,21.733,23.634
104,0.027,16.5117,0.09215,11.295,12.511,13.726,15.056,16.512,18.103,19.844,21.747,23.651
105,0.0243,16.5222,0.09212,11.306,12.521,13.736,15.067,16.522,18.115,19.857,21.761,23.666
106,0.0215,16.5325,0.09209,11.316,12.531,13.746,15.077,16.532,18.126,19.869,21.775,23.682
107,0.0188,16.5426,0.09206,11.327,12.541,13.756,15.086,16.543,18.136,19.881,21.789,23.697
108,0.0161,16.5525,0.09203,11.337,12.551,13.766,15.096,16.552,18.147,19.892,21.802,23.712
