Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
0,0.3487,3.3464,0.14602,1.701,2.08,2.459,2.881,3.346,3.859,4.419,5.031,5.642
1,0.3127,3.3174,0.14693,1.692,2.065,2.437,2.854,3.317,3.83,4.394,5.013,5.633
2,0.3029,3.337,0.14676,1.707,2.08,2.454,2.872,3.337,3.852,4.421,5.045,5.669
3,0.2959,3.3627,0.14647,1.725,2.1,2.475,2.895,3.363,3.881,4.453,5.083,5.712
4,0.2903,3.3915,0.14611,1.745,2.122,2.499,2.921,3.392,3.913,4.49,5.124,5.758
5,0.2855,3.4223,0.14571,1.767,2.146,2.525,2.949,3.422,3.947,4.528,5.167,5.806
6,0.2813,3.4545,0.14528,1.789,2.17,2.551,2.978,3.454,3.983,4.568,5.211,5.855
7,0.2776,3.4879,0.14483,1.812,2.195,2.579,3.009,3.488,4.02,4.609,5.257,5.905
8,0.2742,3.5222,0.14436,1.835,2.221,2.607,3.04,3.522,4.058,4.65,5.303,5.956
9,0.2711,3.5576,0.14388,1.859,2.248,2.637,3.072,3.558,4.097,4.693,5.351,6.009
10,0.2681,3.5941,0.14339,1.884,2.276,2.667,3.105,3.594,4.137,4.738,5.4,6.062
11,0.2654,3.6319,0.1429,1.91,2.304,2.698,3.14,3.632,4.179,4.784,5.451,6.118
12,0.2628,3.671,0.14241,1.936,2.333,2.73,3.175,3.671,4.222,4.831,5.503,6.175
13,0.2604,3.7113,0.14192,1.963,2.363,2.764,3.212,3.711,4.266,4.88,5.558,6.235
14,0.2581,3.7529,0.14142,1.991,2.395,2.798,3.249,3.753,4.312,4.931,5.613,6.296
15,0.2558,3.7956,0.14093,2.02,2.426,2.833,3.288,3.796,4.359,4.983,5.671,6.358
16,0.2537,3.8389,0.14044,2.049,2.459,2.869,3.327,3.839,4.407,5.035,5.729,6.422
17,0.2517,3.8828,0.13996,2.078,2.491,2.905,3.367,3.883,4.455,5.089,5.787,6.486
18,0.2497,3.927,0.13948,2.107,2.524,2.941,3.407,3.927,4.504,5.143,5.847,6.551
19,0.2478,3.9714,0.139,2.137,2.557,2.977,3.448,3.971,4.553,5.196,5.906,6.615
20,0.246,4.0158,0.13853,2.167,2.59,3.014,3.488,4.016,4.602,5.25,5.965,6.68
21,0.2442,4.0603,0.13807,2.197,2.624,3.051,3.528,4.06,4.651,5.304,6.024,6.745
22,0.2425,4.1046,0.13761,2.226,2.657,3.087,3.569,4.105,4.7,5.358,6.083,6.809
23,0.2408,4.1489,0.13715,2.256,2.69,3.124,3.609,4.149,4.748,5.411,6.142,6.873
24,0.2392,4.193,0.1367,2.286,2.723,3.16,3.649,4.193,4.797,5.464,6.2,6.937
25,0.2376,4.2369,0.13626,2.316,2.756,3.197,3.689,4.237,4.845,5.517,6.259,7.0
26,0.2361,4.2806,0.13582,2.345,2.789,3.233,3.729,4.281,4.893,5.57,6.316,7.063
27,0.2346,4.324,0.13539,2.375,2.822,3.269,3.768,4.324,4.94,5.622,6.373,7.125
28,0.2331,4.3671,0.13497,2.404,2.854,3.305,3.807,4.367,4.988,5.674,6.43,7.187
29,0.2317,4.41,0.13455,2.433,2.887,3.34,3.847,4.41,5.035,5.725,6.487,7.248
30,0.2303,4.4525,0.13413,2.462,2.919,3.376,3.885,4.452,5.081,5.776,6.542,7.308
31,0.229,4.4946,0.13372,2.491,2.951,3.411,3.924,4.495,5.127,5.827,6.597,7.368
32,0.2276,4.5363,0.13332,2.52,2.982,3.445,3.962,4.536,5.173,5.877,6.652,7.427
33,0.2263,4.5776,0.13292,2.548,3.014,3.48,4.0,4.578,5.218,5.926,6.706,7.486
34,0.225,4.6185,0.13253,2.576,3.045,3.514,4.037,4.618,5.263,5.975,6.759,7.543
35,0.2237,4.659,0.13215,2.604,3.076,3.548,4.074,4.659,5.307,6.023,6.812,7.6
36,0.2225,4.699,0.13177,2.632,3.107,3.581,4.111,4.699,5.351,6.071,6.864,7.657
37,0.2213,4.7386,0.13139,2.66,3.137,3.615,4.147,4.739,5.394,6.118,6.915,7.712
38,0.2201,4.7778,0.13102,2.687,3.167,3.648,4.183,4.778,5.437,6.164,6.965,7.767
39,0.2189,4.8166,0.13066,2.714,3.197,3.68,4.219,4.817,5.479,6.21,7.016,7.821
40,0.2178,4.8549,0.1303,2.741,3.227,3.712,4.254,4.855,5.521,6.256,7.065,7.874
41,0.2166,4.8928,0.12994,2.768,3.256,3.744,4.289,4.893,5.562,6.3,7.114,7.927
42,0.2155,4.9303,0.1296,2.794,3.285,3.776,4.323,4.93,5.603,6.345,7.162,7.979
43,0.2144,4.9674,0.12925,2.82,3.314,3.807,4.357,4.967,5.643,6.388,7.209,8.03
44,0.2133,5.0041,0.12891,2.846,3.342,3.838,4.391,5.004,5.683,6.432,7.256,8.081
45,0.2122,5.0404,0.12858,2.872,3.37,3.869,4.424,5.04,5.722,6.475,7.303,8.131
46,0.2112,5.0763,0.12825,2.897,3.398,3.9,4.457,5.076,5.761,6.517,7.349,8.18
47,0.2101,5.1118,0.12792,2.923,3.426,3.93,4.49,5.112,5.8,6.558,7.394,8.229
48,0.2091,5.1469,0.1276,2.948,3.454,3.96,4.522,5.147,5.838,6.6,7.438,8.277
49,0.2081,5.1817,0.12729,2.972,3.481,3.989,4.555,5.182,5.875,6.641,7.483,8.325
50,0.2071,5.2161,0.12698,2.997,3.508,4.018,4.586,5.216,5.913,6.681,7.526,8.372
51,0.2061,5.2501,0.12667,3.021,3.534,4.047,4.618,5.25,5.949,6.721,7.569,8.418
52,0.2052,5.2837,0.12637,3.045,3.561,4.076,4.649,5.284,5.986,6.76,7.612,8.464
53,0.2042,5.3171,0.12607,3.07,3.587,4.104,4.68,5.317,6.022,6.799,7.654,8.509
54,0.2032,5.35,0.12577,3.093,3.613,4.133,4.71,5.35,6.057,6.837,7.696,8.554
55,0.2023,5.3826,0.12548,3.117,3.639,4.16,4.74,5.383,6.093,6.876,7.737,8.598
56,0.2014,5.4149,0.1252,3.14,3.664,4.188,4.77,5.415,6.128,6.913,7.777,8.642
57,0.2005,5.4468,0.12491,3.164,3.689,4.215,4.8,5.447,6.162,6.95,7.817,8.684
58,0.1996,5.4784,0.12463,3.187,3.714,4.242,4.829,5.478,6.196,6.987,7.857,8.727
59,0.1987,5.5097,0.12436,3.209,3.739,4.269,4.858,5.51,6.23,7.024,7.896,8.769
60,0.1978,5.5407,0.12409,3.232,3.764,4.296,4.887,5.541,6.263,7.06,7.935,8.811
61,0.1969,5.5714,0.12382,3.254,3.788,4.322,4.915,5.571,6.296,7.095,7.974,8.852
62,0.196,5.6018,0.12356,3.276,3.812,4.348,4.943,5.602,6.329,7.131,8.012,8.893
63,0.1952,5.6319,0.1233,3.298,3.836,4.374,4.971,5.632,6.362,7.166,8.049,8.933
64,0.1943,5.6617,0.12304,3.32,3.86,4.4,4.999,5.662,6.394,7.2,8.087,8.973
65,0.1935,5.6912,0.12279,3.342,3.884,4.425,5.026,5.691,6.426,7.234,8.123,9.013
66,0.1926,5.7205,0.12254,3.364,3.907,4.45,5.053,5.72,6.457,7.268,8.16,9.052
67,0.1918,5.7494,0.12229,3.385,3.93,4.475,5.08,5.749,6.488,7.302,8.196,9.09
68,0.191,5.7781,0.12205,3.406,3.953,4.5,5.107,5.778,6.519,7.335,8.232,9.128
69,0.1902,5.8065,0.12181,3.427,3.976,4.525,5.133,5.806,6.55,7.368,8.267,9.166
70,0.1894,5.8346,0.12157,3.448,3.998,4.549,5.159,5.835,6.58,7.4,8.302,9.203
